country,year,sex,age,suicides_no,population,suicides/100k_pop,country-year,_gdp_for_year__$_,gdp_for_capita_$,generation
Albania,1989,female,25-34 years,2,266300,0.75,Albania1989,2335124988,833,Boomers
Albania,1989,female,55-74 years,1,149600,0.67,Albania1989,2335124988,833,G.I. Generation
Albania,1989,female,5-14 years,0,321900,0.0,Albania1989,2335124988,833,Generation X
Albania,1989,female,75+ years,0,37000,0.0,Albania1989,2335124988,833,G.I. Generation
Albania,1989,male,5-14 years,0,349700,0.0,Albania1989,2335124988,833,Generation X
Albania,1992,male,35-54 years,12,343800,3.49,Albania1992,709452584,251,Boomers
Albania,1992,male,15-24 years,9,263700,3.41,Albania1992,709452584,251,Generation X
Albania,1992,male,55-74 years,5,159500,3.13,Albania1992,709452584,251,Silent
Albania,1992,male,25-34 years,7,245500,2.85,Albania1992,709452584,251,Boomers
Albania,1992,female,15-24 years,7,292400,2.39,Albania1992,709452584,251,Generation X
Albania,1992,female,25-34 years,4,267400,1.5,Albania1992,709452584,251,Boomers
Albania,1992,female,35-54 years,2,323100,0.62,Albania1992,709452584,251,Boomers
Albania,1992,female,55-74 years,1,164900,0.61,Albania1992,709452584,251,Silent
Albania,1992,female,5-14 years,0,336700,0.0,Albania1992,709452584,251,Millenials
Albania,1992,female,75+ years,0,38700,0.0,Albania1992,709452584,251,G.I. Generation
Albania,1992,male,5-14 years,0,362900,0.0,Albania1992,709452584,251,Millenials
Albania,1992,male,75+ years,0,23900,0.0,Albania1992,709452584,251,G.I. Generation
Albania,1993,male,15-24 years,18,243300,7.4,Albania1993,1228071038,437,Generation X
Albania,1993,male,55-74 years,7,165000,4.24,Albania1993,1228071038,437,Silent
Albania,1993,male,75+ years,1,24200,4.13,Albania1993,1228071038,437,G.I. Generation
Albania,1993,male,25-34 years,9,230100,3.91,Albania1993,1228071038,437,Boomers
Albania,1993,female,15-24 years,10,285300,3.51,Albania1993,1228071038,437,Generation X
Albania,1993,male,35-54 years,10,350300,2.85,Albania1993,1228071038,437,Boomers
Albania,1993,female,25-34 years,7,261800,2.67,Albania1993,1228071038,437,Boomers
Albania,1993,female,35-54 years,7,331200,2.11,Albania1993,1228071038,437,Boomers
Albania,1993,female,55-74 years,2,169500,1.18,Albania1993,1228071038,437,Silent
Albania,1993,female,5-14 years,1,340300,0.29,Albania1993,1228071038,437,Millenials
Albania,1993,male,5-14 years,1,367000,0.27,Albania1993,1228071038,437,Millenials
Albania,1993,female,75+ years,0,39300,0.0,Albania1993,1228071038,437,G.I. Generation
Albania,1994,male,75+ years,2,24600,8.13,Albania1994,1985673798,697,G.I. Generation
Albania,1994,male,55-74 years,11,171400,6.42,Albania1994,1985673798,697,Silent
Albania,1994,female,75+ years,2,39900,5.01,Albania1994,1985673798,697,G.I. Generation
Albania,1994,male,25-34 years,6,231400,2.59,Albania1994,1985673798,697,Boomers
Albania,1994,male,35-54 years,9,362800,2.48,Albania1994,1985673798,697,Boomers
Albania,1994,male,15-24 years,6,242200,2.48,Albania1994,1985673798,697,Generation X
Albania,1994,female,15-24 years,6,282600,2.12,Albania1994,1985673798,697,Generation X
Albania,1994,female,25-34 years,4,261100,1.53,Albania1994,1985673798,697,Boomers
Albania,1994,female,35-54 years,2,342500,0.58,Albania1994,1985673798,697,Boomers
Albania,1994,female,55-74 years,1,174600,0.57,Albania1994,1985673798,697,Silent
Albania,1994,male,5-14 years,1,371800,0.27,Albania1994,1985673798,697,Millenials
Albania,1994,female,5-14 years,0,344400,0.0,Albania1994,1985673798,697,Millenials
Albania,1995,male,25-34 years,13,232900,5.58,Albania1995,2424499009,835,Generation X
Albania,1995,male,55-74 years,9,178000,5.06,Albania1995,2424499009,835,Silent
Albania,1995,female,75+ years,2,40800,4.9,Albania1995,2424499009,835,G.I. Generation
Albania,1995,female,15-24 years,13,283500,4.59,Albania1995,2424499009,835,Generation X
Albania,1995,male,15-24 years,11,241200,4.56,Albania1995,2424499009,835,Generation X
Albania,1995,male,75+ years,1,25100,3.98,Albania1995,2424499009,835,G.I. Generation
Albania,1995,male,35-54 years,14,375900,3.72,Albania1995,2424499009,835,Boomers
Albania,1995,female,25-34 years,7,264000,2.65,Albania1995,2424499009,835,Generation X
Albania,1995,female,35-54 years,8,356400,2.24,Albania1995,2424499009,835,Boomers
Albania,1995,male,5-14 years,6,376500,1.59,Albania1995,2424499009,835,Millenials
Albania,1995,female,55-74 years,2,180400,1.11,Albania1995,2424499009,835,Silent
Albania,1995,female,5-14 years,2,348700,0.57,Albania1995,2424499009,835,Millenials
Albania,1996,male,75+ years,2,25400,7.87,Albania1996,3314898292,1127,G.I. Generation
Albania,1996,male,15-24 years,17,243600,6.98,Albania1996,3314898292,1127,Generation X
Albania,1996,male,25-34 years,14,235300,5.95,Albania1996,3314898292,1127,Generation X
Albania,1996,female,15-24 years,16,287700,5.56,Albania1996,3314898292,1127,Generation X
Albania,1996,female,75+ years,2,41200,4.85,Albania1996,3314898292,1127,G.I. Generation
Albania,1996,female,25-34 years,10,267900,3.73,Albania1996,3314898292,1127,Generation X
Albania,1996,male,35-54 years,12,379600,3.16,Albania1996,3314898292,1127,Boomers
Albania,1996,female,35-54 years,9,362000,2.49,Albania1996,3314898292,1127,Boomers
Albania,1996,male,55-74 years,3,179900,1.67,Albania1996,3314898292,1127,Silent
Albania,1996,female,55-74 years,1,183100,0.55,Albania1996,3314898292,1127,Silent
Albania,1996,male,5-14 years,2,380400,0.53,Albania1996,3314898292,1127,Millenials
Albania,1996,female,5-14 years,1,354100,0.28,Albania1996,3314898292,1127,Millenials
Albania,1997,male,25-34 years,36,236000,15.25,Albania1997,2359903108,793,Generation X
Albania,1997,male,15-24 years,33,244400,13.5,Albania1997,2359903108,793,Generation X
Albania,1997,male,75+ years,3,25400,11.81,Albania1997,2359903108,793,G.I. Generation
Albania,1997,male,35-54 years,30,380800,7.88,Albania1997,2359903108,793,Boomers
Albania,1997,female,15-24 years,21,294000,7.14,Albania1997,2359903108,793,Generation X
Albania,1997,male,55-74 years,12,180300,6.66,Albania1997,2359903108,793,Silent
Albania,1997,female,25-34 years,16,273900,5.84,Albania1997,2359903108,793,Generation X
Albania,1997,female,75+ years,2,42100,4.75,Albania1997,2359903108,793,G.I. Generation
Albania,1997,female,35-54 years,7,370100,1.89,Albania1997,2359903108,793,Boomers
Albania,1997,female,5-14 years,6,361800,1.66,Albania1997,2359903108,793,Millenials
Albania,1997,male,5-14 years,4,381500,1.05,Albania1997,2359903108,793,Millenials
Albania,1997,female,55-74 years,0,187000,0.0,Albania1997,2359903108,793,Silent
Albania,1998,male,75+ years,3,25800,11.63,Albania1998,2707123772,899,G.I. Generation
Albania,1998,male,15-24 years,27,248800,10.85,Albania1998,2707123772,899,Generation X
Albania,1998,female,15-24 years,32,295600,10.83,Albania1998,2707123772,899,Generation X
Albania,1998,male,25-34 years,26,240400,10.82,Albania1998,2707123772,899,Generation X
Albania,1998,male,35-54 years,29,388200,7.47,Albania1998,2707123772,899,Boomers
Albania,1998,male,55-74 years,9,183800,4.9,Albania1998,2707123772,899,Silent
Albania,1998,female,25-34 years,10,275300,3.63,Albania1998,2707123772,899,Generation X
Albania,1998,female,55-74 years,6,188200,3.19,Albania1998,2707123772,899,Silent
Albania,1998,female,35-54 years,9,372100,2.42,Albania1998,2707123772,899,Boomers
Albania,1998,male,5-14 years,2,388400,0.51,Albania1998,2707123772,899,Millenials
Albania,1998,female,5-14 years,1,363800,0.27,Albania1998,2707123772,899,Millenials
Albania,1998,female,75+ years,0,42300,0.0,Albania1998,2707123772,899,G.I. Generation
Albania,1999,male,75+ years,3,25900,11.58,Albania1999,3414760915,1127,G.I. Generation
Albania,1999,male,15-24 years,24,250600,9.58,Albania1999,3414760915,1127,Generation X
Albania,1999,female,75+ years,4,42400,9.43,Albania1999,3414760915,1127,G.I. Generation
Albania,1999,male,35-54 years,31,391100,7.93,Albania1999,3414760915,1127,Boomers
Albania,1999,male,25-34 years,19,242300,7.84,Albania1999,3414760915,1127,Generation X
Albania,1999,male,55-74 years,14,185200,7.56,Albania1999,3414760915,1127,Silent
Albania,1999,female,15-24 years,19,296800,6.4,Albania1999,3414760915,1127,Generation X
Albania,1999,female,25-34 years,13,276500,4.7,Albania1999,3414760915,1127,Generation X
Albania,1999,female,55-74 years,6,188800,3.18,Albania1999,3414760915,1127,Silent
Albania,1999,female,35-54 years,5,373600,1.34,Albania1999,3414760915,1127,Boomers
Albania,1999,female,5-14 years,1,365200,0.27,Albania1999,3414760915,1127,Millenials
Albania,1999,male,5-14 years,0,391300,0.0,Albania1999,3414760915,1127,Millenials
Albania,2000,male,25-34 years,17,232000,7.33,Albania2000,3632043908,1299,Generation X
Albania,2000,male,55-74 years,10,177400,5.64,Albania2000,3632043908,1299,Silent
Albania,2000,female,75+ years,2,37800,5.29,Albania2000,3632043908,1299,G.I. Generation
Albania,2000,male,75+ years,1,24900,4.02,Albania2000,3632043908,1299,G.I. Generation
Albania,2000,female,15-24 years,6,263900,2.27,Albania2000,3632043908,1299,Generation X
Albania,2000,male,15-24 years,5,240000,2.08,Albania2000,3632043908,1299,Generation X
Albania,2000,female,35-54 years,5,332200,1.51,Albania2000,3632043908,1299,Boomers
Albania,2000,female,25-34 years,3,245800,1.22,Albania2000,3632043908,1299,Generation X
Albania,2000,male,35-54 years,4,374700,1.07,Albania2000,3632043908,1299,Boomers
Albania,2000,male,5-14 years,1,374900,0.27,Albania2000,3632043908,1299,Millenials
Albania,2000,female,5-14 years,0,324700,0.0,Albania2000,3632043908,1299,Millenials
Albania,2000,female,55-74 years,0,168000,0.0,Albania2000,3632043908,1299,Silent
Albania,2001,male,25-34 years,22,206484,10.65,Albania2001,4060758804,1451,Generation X
Albania,2001,male,35-54 years,34,378826,8.98,Albania2001,4060758804,1451,Boomers
Albania,2001,male,55-74 years,11,196670,5.59,Albania2001,4060758804,1451,Silent
Albania,2001,female,75+ years,2,47254,4.23,Albania2001,4060758804,1451,Silent
Albania,2001,male,15-24 years,10,256039,3.91,Albania2001,4060758804,1451,Millenials
Albania,2001,female,15-24 years,9,271359,3.32,Albania2001,4060758804,1451,Millenials
Albania,2001,female,35-54 years,12,370191,3.24,Albania2001,4060758804,1451,Boomers
Albania,2001,male,75+ years,1,31044,3.22,Albania2001,4060758804,1451,Silent
Albania,2001,female,55-74 years,6,189799,3.16,Albania2001,4060758804,1451,Silent
Albania,2001,male,5-14 years,6,321556,1.87,Albania2001,4060758804,1451,Millenials
Albania,2001,female,25-34 years,4,222771,1.8,Albania2001,4060758804,1451,Generation X
Albania,2001,female,5-14 years,2,307356,0.65,Albania2001,4060758804,1451,Millenials
Albania,2002,male,75+ years,4,31007,12.9,Albania2002,4435078648,1573,Silent
Albania,2002,male,25-34 years,23,206286,11.15,Albania2002,4435078648,1573,Generation X
Albania,2002,male,35-54 years,35,382139,9.16,Albania2002,4435078648,1573,Boomers
Albania,2002,male,55-74 years,13,198130,6.56,Albania2002,4435078648,1573,Silent
Albania,2002,male,15-24 years,15,263067,5.7,Albania2002,4435078648,1573,Millenials
Albania,2002,female,15-24 years,14,275970,5.07,Albania2002,4435078648,1573,Millenials
Albania,2002,female,35-54 years,15,375113,4.0,Albania2002,4435078648,1573,Boomers
Albania,2002,female,25-34 years,7,223685,3.13,Albania2002,4435078648,1573,Generation X
Albania,2002,female,75+ years,1,47407,2.11,Albania2002,4435078648,1573,Silent
Albania,2002,female,55-74 years,4,191712,2.09,Albania2002,4435078648,1573,Silent
Albania,2002,female,5-14 years,1,304850,0.33,Albania2002,4435078648,1573,Millenials
Albania,2002,male,5-14 years,1,319473,0.31,Albania2002,4435078648,1573,Millenials
Albania,2003,female,75+ years,6,49088,12.22,Albania2003,5746945913,2021,Silent
Albania,2003,male,55-74 years,16,201520,7.94,Albania2003,5746945913,2021,Silent
Albania,2003,male,35-54 years,28,386196,7.25,Albania2003,5746945913,2021,Boomers
Albania,2003,male,15-24 years,15,273235,5.49,Albania2003,5746945913,2021,Millenials
Albania,2003,female,15-24 years,14,283709,4.93,Albania2003,5746945913,2021,Millenials
Albania,2003,female,55-74 years,9,195699,4.6,Albania2003,5746945913,2021,Silent
Albania,2003,male,25-34 years,9,205433,4.38,Albania2003,5746945913,2021,Generation X
Albania,2003,female,25-34 years,9,222941,4.04,Albania2003,5746945913,2021,Generation X
Albania,2003,female,35-54 years,13,381760,3.41,Albania2003,5746945913,2021,Boomers
Albania,2003,male,75+ years,1,32667,3.06,Albania2003,5746945913,2021,Silent
Albania,2003,male,5-14 years,4,313204,1.28,Albania2003,5746945913,2021,Millenials
Albania,2003,female,5-14 years,0,298477,0.0,Albania2003,5746945913,2021,Millenials
Albania,2004,male,75+ years,4,35526,11.26,Albania2004,7314865176,2544,Silent
Albania,2004,male,35-54 years,39,391767,9.95,Albania2004,7314865176,2544,Boomers
Albania,2004,male,25-34 years,16,203938,7.85,Albania2004,7314865176,2544,Generation X
Albania,2004,female,15-24 years,20,292268,6.84,Albania2004,7314865176,2544,Millenials
Albania,2004,male,15-24 years,19,286768,6.63,Albania2004,7314865176,2544,Millenials
Albania,2004,female,75+ years,3,50970,5.89,Albania2004,7314865176,2544,Silent
Albania,2004,female,25-34 years,11,222389,4.95,Albania2004,7314865176,2544,Generation X
Albania,2004,male,55-74 years,10,207202,4.83,Albania2004,7314865176,2544,Silent
Albania,2004,female,35-54 years,17,391436,4.34,Albania2004,7314865176,2544,Boomers
Albania,2004,female,55-74 years,3,203841,1.47,Albania2004,7314865176,2544,Silent
Albania,2004,female,5-14 years,3,286705,1.05,Albania2004,7314865176,2544,Millenials
Albania,2004,male,5-14 years,1,302181,0.33,Albania2004,7314865176,2544,Millenials
Albania,2005,female,15-24 years,0,281922,0.0,Albania2005,8158548717,2931,Millenials
Albania,2005,female,25-34 years,0,190745,0.0,Albania2005,8158548717,2931,Generation X
Albania,2005,female,35-54 years,0,386513,0.0,Albania2005,8158548717,2931,Boomers
Albania,2005,female,5-14 years,0,276559,0.0,Albania2005,8158548717,2931,Millenials
Albania,2005,female,55-74 years,0,210998,0.0,Albania2005,8158548717,2931,Silent
Albania,2005,female,75+ years,0,53191,0.0,Albania2005,8158548717,2931,Silent
Albania,2005,male,15-24 years,0,281675,0.0,Albania2005,8158548717,2931,Millenials
Albania,2005,male,25-34 years,0,177519,0.0,Albania2005,8158548717,2931,Generation X
Albania,2005,male,35-54 years,0,380242,0.0,Albania2005,8158548717,2931,Boomers
Albania,2005,male,5-14 years,0,291367,0.0,Albania2005,8158548717,2931,Millenials
Albania,2005,male,55-74 years,0,214118,0.0,Albania2005,8158548717,2931,Silent
Albania,2005,male,75+ years,0,38471,0.0,Albania2005,8158548717,2931,Silent
Albania,2006,female,15-24 years,0,283138,0.0,Albania2006,8992642349,3235,Millenials
Albania,2006,female,25-34 years,0,186391,0.0,Albania2006,8992642349,3235,Generation X
Albania,2006,female,35-54 years,0,388746,0.0,Albania2006,8992642349,3235,Boomers
Albania,2006,female,5-14 years,0,267316,0.0,Albania2006,8992642349,3235,Millenials
Albania,2006,female,55-74 years,0,215907,0.0,Albania2006,8992642349,3235,Silent
Albania,2006,female,75+ years,0,56011,0.0,Albania2006,8992642349,3235,Silent
Albania,2006,male,15-24 years,0,286679,0.0,Albania2006,8992642349,3235,Millenials
Albania,2006,male,25-34 years,0,174092,0.0,Albania2006,8992642349,3235,Generation X
Albania,2006,male,35-54 years,0,379076,0.0,Albania2006,8992642349,3235,Boomers
Albania,2006,male,5-14 years,0,282678,0.0,Albania2006,8992642349,3235,Millenials
Albania,2006,male,55-74 years,0,219360,0.0,Albania2006,8992642349,3235,Silent
Albania,2006,male,75+ years,0,40782,0.0,Albania2006,8992642349,3235,Silent
Albania,2007,male,75+ years,8,42366,18.88,Albania2007,10701011897,3863,Silent
Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,10701011897,3863,Boomers
Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,10701011897,3863,Silent
Albania,2007,female,75+ years,3,57404,5.23,Albania2007,10701011897,3863,Silent
Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,10701011897,3863,Generation X
Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,10701011897,3863,Millenials
Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,10701011897,3863,Millenials
Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,10701011897,3863,Generation X
Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,10701011897,3863,Silent
Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,10701011897,3863,Boomers
Albania,2007,male,5-14 years,4,272497,1.47,Albania2007,10701011897,3863,Generation Z
Albania,2007,female,5-14 years,0,256808,0.0,Albania2007,10701011897,3863,Generation Z
Albania,2008,male,25-34 years,21,172855,12.15,Albania2008,12881352688,4672,Generation X
Albania,2008,male,35-54 years,37,377119,9.81,Albania2008,12881352688,4672,Boomers
Albania,2008,male,55-74 years,21,228672,9.18,Albania2008,12881352688,4672,Silent
Albania,2008,female,75+ years,5,59369,8.42,Albania2008,12881352688,4672,Silent
Albania,2008,female,15-24 years,20,276073,7.24,Albania2008,12881352688,4672,Millenials
Albania,2008,female,25-34 years,9,182663,4.93,Albania2008,12881352688,4672,Generation X
Albania,2008,female,35-54 years,19,393832,4.82,Albania2008,12881352688,4672,Boomers
Albania,2008,male,75+ years,2,44574,4.49,Albania2008,12881352688,4672,Silent
Albania,2008,male,15-24 years,11,286702,3.84,Albania2008,12881352688,4672,Millenials
Albania,2008,female,55-74 years,7,226448,3.09,Albania2008,12881352688,4672,Silent
Albania,2008,male,5-14 years,7,262464,2.67,Albania2008,12881352688,4672,Generation Z
Albania,2008,female,5-14 years,1,246288,0.41,Albania2008,12881352688,4672,Generation Z
Albania,2009,female,15-24 years,0,270003,0.0,Albania2009,12044212904,4387,Millenials
Albania,2009,female,25-34 years,0,182712,0.0,Albania2009,12044212904,4387,Generation X
Albania,2009,female,35-54 years,0,394286,0.0,Albania2009,12044212904,4387,Boomers
Albania,2009,female,5-14 years,0,236174,0.0,Albania2009,12044212904,4387,Generation Z
Albania,2009,female,55-74 years,0,233302,0.0,Albania2009,12044212904,4387,Silent
Albania,2009,female,75+ years,0,61582,0.0,Albania2009,12044212904,4387,Silent
Albania,2009,male,15-24 years,0,283448,0.0,Albania2009,12044212904,4387,Millenials
Albania,2009,male,25-34 years,0,174955,0.0,Albania2009,12044212904,4387,Generation X
Albania,2009,male,35-54 years,0,374365,0.0,Albania2009,12044212904,4387,Boomers
Albania,2009,male,5-14 years,0,253007,0.0,Albania2009,12044212904,4387,Generation Z
Albania,2009,male,55-74 years,0,234570,0.0,Albania2009,12044212904,4387,Silent
Albania,2009,male,75+ years,0,47331,0.0,Albania2009,12044212904,4387,Silent
Albania,2010,male,55-74 years,20,241852,8.27,Albania2010,11926953259,4359,Silent
Albania,2010,male,35-54 years,20,371611,5.38,Albania2010,11926953259,4359,Generation X
Albania,2010,male,25-34 years,9,179720,5.01,Albania2010,11926953259,4359,Generation X
Albania,2010,male,75+ years,2,50767,3.94,Albania2010,11926953259,4359,Silent
Albania,2010,male,15-24 years,10,279508,3.58,Albania2010,11926953259,4359,Millenials
Albania,2010,female,25-34 years,6,183579,3.27,Albania2010,11926953259,4359,Generation X
Albania,2010,female,75+ years,2,64415,3.1,Albania2010,11926953259,4359,Silent
Albania,2010,female,35-54 years,12,394593,3.04,Albania2010,11926953259,4359,Generation X
Albania,2010,female,55-74 years,7,241491,2.9,Albania2010,11926953259,4359,Silent
Albania,2010,female,15-24 years,6,263581,2.28,Albania2010,11926953259,4359,Millenials
Albania,2010,female,5-14 years,2,223969,0.89,Albania2010,11926953259,4359,Generation Z
Albania,2010,male,5-14 years,0,240939,0.0,Albania2010,11926953259,4359,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0,Antigua and Barbuda1985,240923926,3850,Generation X
Antigua and Barbuda,1985,female,25-34 years,0,6344,0.0,Antigua and Barbuda1985,240923926,3850,Boomers
Antigua and Barbuda,1985,female,35-54 years,0,6173,0.0,Antigua and Barbuda1985,240923926,3850,Silent
Antigua and Barbuda,1985,female,5-14 years,0,7339,0.0,Antigua and Barbuda1985,240923926,3850,Generation X
Antigua and Barbuda,1985,female,55-74 years,0,3778,0.0,Antigua and Barbuda1985,240923926,3850,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0,949,0.0,Antigua and Barbuda1985,240923926,3850,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0,7667,0.0,Antigua and Barbuda1985,240923926,3850,Generation X
Antigua and Barbuda,1985,male,25-34 years,0,6194,0.0,Antigua and Barbuda1985,240923926,3850,Boomers
Antigua and Barbuda,1985,male,35-54 years,0,5970,0.0,Antigua and Barbuda1985,240923926,3850,Silent
Antigua and Barbuda,1985,male,5-14 years,0,7304,0.0,Antigua and Barbuda1985,240923926,3850,Generation X
Antigua and Barbuda,1985,male,55-74 years,0,2723,0.0,Antigua and Barbuda1985,240923926,3850,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0,424,0.0,Antigua and Barbuda1985,240923926,3850,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0,7668,0.0,Antigua and Barbuda1986,290440148,4740,Generation X
Antigua and Barbuda,1986,female,25-34 years,0,6209,0.0,Antigua and Barbuda1986,290440148,4740,Boomers
Antigua and Barbuda,1986,female,35-54 years,0,6101,0.0,Antigua and Barbuda1986,290440148,4740,Silent
Antigua and Barbuda,1986,female,5-14 years,0,6907,0.0,Antigua and Barbuda1986,290440148,4740,Generation X
Antigua and Barbuda,1986,female,55-74 years,0,3764,0.0,Antigua and Barbuda1986,290440148,4740,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0,1014,0.0,Antigua and Barbuda1986,290440148,4740,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0,7563,0.0,Antigua and Barbuda1986,290440148,4740,Generation X
Antigua and Barbuda,1986,male,25-34 years,0,6023,0.0,Antigua and Barbuda1986,290440148,4740,Boomers
Antigua and Barbuda,1986,male,35-54 years,0,5947,0.0,Antigua and Barbuda1986,290440148,4740,Silent
Antigua and Barbuda,1986,male,5-14 years,0,6827,0.0,Antigua and Barbuda1986,290440148,4740,Generation X
Antigua and Barbuda,1986,male,55-74 years,0,2771,0.0,Antigua and Barbuda1986,290440148,4740,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0,476,0.0,Antigua and Barbuda1986,290440148,4740,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0,7583,0.0,Antigua and Barbuda1987,337174852,5595,Generation X
Antigua and Barbuda,1987,female,25-34 years,0,6101,0.0,Antigua and Barbuda1987,337174852,5595,Boomers
Antigua and Barbuda,1987,female,35-54 years,0,6059,0.0,Antigua and Barbuda1987,337174852,5595,Silent
Antigua and Barbuda,1987,female,5-14 years,0,6623,0.0,Antigua and Barbuda1987,337174852,5595,Generation X
Antigua and Barbuda,1987,female,55-74 years,0,3738,0.0,Antigua and Barbuda1987,337174852,5595,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0,1081,0.0,Antigua and Barbuda1987,337174852,5595,G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,0,7421,0.0,Antigua and Barbuda1987,337174852,5595,Generation X
Antigua and Barbuda,1987,male,25-34 years,0,5893,0.0,Antigua and Barbuda1987,337174852,5595,Boomers
Antigua and Barbuda,1987,male,35-54 years,0,5927,0.0,Antigua and Barbuda1987,337174852,5595,Silent
Antigua and Barbuda,1987,male,5-14 years,0,6499,0.0,Antigua and Barbuda1987,337174852,5595,Generation X
Antigua and Barbuda,1987,male,55-74 years,0,2798,0.0,Antigua and Barbuda1987,337174852,5595,G.I. Generation
Antigua and Barbuda,1987,male,75+ years,0,538,0.0,Antigua and Barbuda1987,337174852,5595,G.I. Generation
Antigua and Barbuda,1988,female,15-24 years,0,7413,0.0,Antigua and Barbuda1988,398637741,6693,Generation X
Antigua and Barbuda,1988,female,25-34 years,0,6041,0.0,Antigua and Barbuda1988,398637741,6693,Boomers
Antigua and Barbuda,1988,female,35-54 years,0,6021,0.0,Antigua and Barbuda1988,398637741,6693,Silent
Antigua and Barbuda,1988,female,5-14 years,0,6527,0.0,Antigua and Barbuda1988,398637741,6693,Generation X
Antigua and Barbuda,1988,female,55-74 years,0,3708,0.0,Antigua and Barbuda1988,398637741,6693,G.I. Generation
Antigua and Barbuda,1988,female,75+ years,0,1141,0.0,Antigua and Barbuda1988,398637741,6693,G.I. Generation
Antigua and Barbuda,1988,male,15-24 years,0,7209,0.0,Antigua and Barbuda1988,398637741,6693,Generation X
Antigua and Barbuda,1988,male,25-34 years,0,5826,0.0,Antigua and Barbuda1988,398637741,6693,Boomers
Antigua and Barbuda,1988,male,35-54 years,0,5907,0.0,Antigua and Barbuda1988,398637741,6693,Silent
Antigua and Barbuda,1988,male,5-14 years,0,6355,0.0,Antigua and Barbuda1988,398637741,6693,Generation X
Antigua and Barbuda,1988,male,55-74 years,0,2813,0.0,Antigua and Barbuda1988,398637741,6693,G.I. Generation
